Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-02VI-0000,0.8633852684548349,006-001T-0000,"https://media.ng-london.org.uk/iiif/009-004I-0000/full/256,/0/default.jpg",Uncategorised,1,0.9431362874494772,35
000-02X6-0000,0.7697343417373133,006-000K-0000,"https://media.ng-london.org.uk/iiif/009-007G-0000/full/256,/0/default.jpg",Uncategorised,1,0.8783522609646756,16
000-016Q-0000,0.7351297387526055,006-0001-0000,"https://media.ng-london.org.uk/iiif/009-00QA-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,1,0.8544141581093845,18
000-019R-0000,0.679493467968054,006-0018-0000,"https://media.ng-london.org.uk/iiif/009-012P-0000/full/256,/0/default.jpg",Migration_Journeys_and_Exile,1,0.8159271749437644,30
000-02YI-0000,0.9713326652635712,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00J8-0000/full/256,/0/default.jpg",Uncategorised,0,0.6719297215476977,15
000-0437-0000,0.9712667380224254,006-001Q-0000,"https://media.ng-london.org.uk/iiif/009-017O-0000/full/256,/0/default.jpg",Womens Lives,0,0.6718841156761258,18
000-0434-0000,0.9697903972336164,006-0009-0000,"https://media.ng-london.org.uk/iiif/009-00A2-0000/full/256,/0/default.jpg",Uncategorised,0,0.6708628412038371,15
000-03UH-0000,0.9688159032172544,006-001Z-0000,"https://media.ng-london.org.uk/iiif/009-01PH-0000/full/256,/0/default.jpg",Uncategorised,0,0.6701887245839803,15
000-04OG-0000,0.9673909574597332,006-0001-0000,"https://media.ng-london.org.uk/iiif/009-00N0-0000/full/256,/0/default.jpg",Uncategorised,0,0.6692030031722412,16
000-02ND-0000,0.9648307587782043,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-000B-0000/full/256,/0/default.jpg",Water,0,0.6674319584532626,19
000-03WL-0000,0.9593507930558594,006-002L-0000,"https://media.ng-london.org.uk/iiif/009-003S-0000/full/256,/0/default.jpg",Migration_Journeys_and_Exile,0,0.6636411337712707,48
