Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-031I-0000,0.9455866947308716,006-000N-0000,"https://media.ng-london.org.uk/iiif/009-01I8-0000/full/256,/0/default.jpg",Uncategorised,1,1.0,57
000-0431-0000,0.9096974628561912,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-01TP-0000/full/256,/0/default.jpg",Uncategorised,1,0.9751732414212888,56
000-04PN-0000,0.8975462116951083,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00DU-0000/full/256,/0/default.jpg",Uncategorised,1,0.9667674839489948,21
000-02VI-0000,0.8633852684548349,006-001T-0000,"https://media.ng-london.org.uk/iiif/009-004I-0000/full/256,/0/default.jpg",Uncategorised,1,0.9431362874494772,42
000-01CK-0000,0.8409635143865349,006-000G-0000,"https://media.ng-london.org.uk/iiif/009-004U-0000/full/256,/0/default.jpg",Uncategorised,1,0.9276258001504265,56
000-01AH-0000,0.8320576966611037,006-0022-0000,"https://media.ng-london.org.uk/iiif/009-01GN-0000/full/256,/0/default.jpg",Uncategorised,1,0.9214651058400176,41
000-01AD-0000,0.8284689665302891,006-0007-0000,"https://media.ng-london.org.uk/iiif/009-01WQ-0000/full/256,/0/default.jpg",Uncategorised,1,0.9189825635311436,45
000-03G0-0000,0.8272188914657495,006-001L-0000,"https://media.ng-london.org.uk/iiif/009-0150-0000/full/256,/0/default.jpg",Uncategorised,1,0.9181178107846663,40
000-016U-0000,0.7933219006538583,006-000S-0000,"https://media.ng-london.org.uk/iiif/009-00M6-0000/full/256,/0/default.jpg",Uncategorised,1,0.8946692061901131,39
000-02VY-0000,0.7887876618507295,006-000I-0000,"https://media.ng-london.org.uk/iiif/009-00U1-0000/full/256,/0/default.jpg",Uncategorised,1,0.8915325981819902,43
000-02X6-0000,0.7697343417373133,006-000K-0000,"https://media.ng-london.org.uk/iiif/009-007G-0000/full/256,/0/default.jpg",Uncategorised,1,0.8783522609646756,41
000-01B0-0000,0.7693306496076078,006-0011-0000,"https://media.ng-london.org.uk/iiif/009-01DZ-0000/full/256,/0/default.jpg",Uncategorised,1,0.8780730026322788,23
000-0419-0000,0.7452833529559433,006-0023-0000,"https://media.ng-london.org.uk/iiif/009-00T7-0000/full/256,/0/default.jpg",Uncategorised,1,0.8614380289296871,16
000-02T3-0000,0.7394222047389598,006-000O-0000,"https://media.ng-london.org.uk/iiif/009-00MG-0000/full/256,/0/default.jpg",Uncategorised,1,0.8573835171952147,52
000-016Q-0000,0.7351297387526055,006-0001-0000,"https://media.ng-london.org.uk/iiif/009-00QA-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,1,0.8544141581093845,41
000-017R-0000,0.7232396655808322,006-001N-0000,"https://media.ng-london.org.uk/iiif/009-0021-0000/full/256,/0/default.jpg",Uncategorised,1,0.8461890732942625,48
000-019Z-0000,0.7185185067913329,006-000P-0000,"https://media.ng-london.org.uk/iiif/009-00DO-0000/full/256,/0/default.jpg",Uncategorised,1,0.842923161393781,19
000-019R-0000,0.679493467968054,006-0018-0000,"https://media.ng-london.org.uk/iiif/009-012P-0000/full/256,/0/default.jpg",Migration_Journeys_and_Exile,1,0.8159271749437644,34
000-03TU-0000,0.6738696611370347,006-000C-0000,"https://media.ng-london.org.uk/iiif/009-015L-0000/full/256,/0/default.jpg",Uncategorised,1,0.8120368466421012,59
000-0168-0000,0.6498623163195489,006-000T-0000,"https://media.ng-london.org.uk/iiif/009-00WE-0000/full/256,/0/default.jpg",Uncategorised,1,0.7954295100465224,49
000-03TM-0000,0.6386083042551296,006-000I-0000,"https://media.ng-london.org.uk/iiif/009-012N-0000/full/256,/0/default.jpg",Water,1,0.7876444272801688,49
000-01A0-0000,0.6361229969930728,006-000U-0000,"https://media.ng-london.org.uk/iiif/009-00R3-0000/full/256,/0/default.jpg",Uncategorised,1,0.78592518949864,42
000-01DF-0000,0.5619276477794721,006-000L-0000,"https://media.ng-london.org.uk/iiif/009-01AC-0000/full/256,/0/default.jpg",Uncategorised,1,0.7345997660674193,20
000-043Q-0000,0.5405418445176746,006-000N-0000,"https://media.ng-london.org.uk/iiif/009-01GH-0000/full/256,/0/default.jpg",Uncategorised,1,0.7198059087776779,20
000-019M-0000,0.5236481208212527,006-000N-0000,"https://media.ng-london.org.uk/iiif/009-01XE-0000/full/256,/0/default.jpg",Uncategorised,1,0.7081194953941021,24
000-01D6-0000,0.5015972757403269,006-001M-0000,"https://media.ng-london.org.uk/iiif/009-01S9-0000/full/256,/0/default.jpg",Uncategorised,1,0.6928655883394089,38
000-03PR-0000,1.0,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01GV-0000/full/256,/0/default.jpg",Uncategorised,0,0.6917606558257459,59
000-06PL-0000,0.9993694329393588,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00VV-0000/full/256,/0/default.jpg",Uncategorised,0,0.6913244543423346,36
000-06PJ-0000,0.9993694329393588,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-007M-0000/full/256,/0/default.jpg",Uncategorised,0,0.6913244543423346,49
000-06PK-0000,0.9993694329393588,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-018R-0000/full/256,/0/default.jpg",Uncategorised,0,0.6913244543423346,26
000-02VT-0000,0.9952914549125782,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-003R-0000/full/256,/0/default.jpg",Uncategorised,0,0.6885034695880858,25
000-02WJ-0000,0.9952914549125782,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00C0-0000/full/256,/0/default.jpg",Uncategorised,0,0.6885034695880858,16
000-02WI-0000,0.9941988102668492,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0057-0000/full/256,/0/default.jpg",Uncategorised,0,0.6877476210113719,33
000-04HV-0000,0.9939842111870788,006-001C-0000,"https://media.ng-london.org.uk/iiif/009-007S-0000/full/256,/0/default.jpg",Uncategorised,0,0.6875991698112103,30
000-03O7-0000,0.9934796809376052,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00RE-0000/full/256,/0/default.jpg",Uncategorised,0,0.6872501556349505,59
000-030F-0000,0.9926557505627582,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00OU-0000/full/256,/0/default.jpg",Uncategorised,0,0.6866801930184916,58
000-02VZ-0000,0.9901958859656196,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01H3-0000/full/256,/0/default.jpg",Uncategorised,0,0.6849785554715324,19
000-043F-0000,0.98973575224759,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0088-0000/full/256,/0/default.jpg",Uncategorised,0,0.6846602530689808,26
000-04MI-0000,0.9891248984597181,006-001C-0000,"https://media.ng-london.org.uk/iiif/009-00ZL-0000/full/256,/0/default.jpg",Uncategorised,0,0.6842376884520689,22
000-04PK-0000,0.9879576779760956,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00BP-0000/full/256,/0/default.jpg",Uncategorised,0,0.6834302512448249,40
000-04S1-0000,0.9872431478023108,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00G2-0000/full/256,/0/default.jpg",Uncategorised,0,0.6829359673832003,31
000-03ZE-0000,0.9870831675822852,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-015N-0000/full/256,/0/default.jpg",Uncategorised,0,0.6828252993612762,59
000-03QL-0000,0.9855506188594164,006-000B-0000,"https://media.ng-london.org.uk/iiif/009-0080-0000/full/256,/0/default.jpg",Uncategorised,0,0.6817651424516596,52
000-02WL-0000,0.9852106066728972,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-011R-0000/full/256,/0/default.jpg",Uncategorised,0,0.6815299353985242,32
000-04T1-0000,0.985112517000422,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-00VC-0000/full/256,/0/default.jpg",Uncategorised,0,0.6814620808223631,23
000-04HW-0000,0.9850702776895099,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-012H-0000/full/256,/0/default.jpg",Uncategorised,0,0.681432861328945,37
000-02R5-0000,0.9850618852823708,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-000F-0000/full/256,/0/default.jpg",Uncategorised,0,0.6814270557918785,16
