Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)"
000-03PR-0000,1.0,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01GV-0000/full/256,/0/default.jpg",Uncategorised,0
000-06PJ-0000,0.9993694329393588,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-007M-0000/full/256,/0/default.jpg",Uncategorised,0
000-06PK-0000,0.9993694329393588,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-018R-0000/full/256,/0/default.jpg",Uncategorised,0
000-06PL-0000,0.9993694329393588,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00VV-0000/full/256,/0/default.jpg",Uncategorised,0
000-02VT-0000,0.9952914549125782,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-003R-0000/full/256,/0/default.jpg",Uncategorised,0
000-02WJ-0000,0.9952914549125782,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00C0-0000/full/256,/0/default.jpg",Uncategorised,0
000-02WI-0000,0.9941988102668492,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0057-0000/full/256,/0/default.jpg",Uncategorised,0
000-04HV-0000,0.9939842111870788,006-001C-0000,"https://media.ng-london.org.uk/iiif/009-007S-0000/full/256,/0/default.jpg",Uncategorised,0
000-03O7-0000,0.9934796809376052,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00RE-0000/full/256,/0/default.jpg",Uncategorised,0
000-030F-0000,0.9926557505627582,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00OU-0000/full/256,/0/default.jpg",Uncategorised,0
000-02VZ-0000,0.9901958859656196,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01H3-0000/full/256,/0/default.jpg",Uncategorised,0
000-043F-0000,0.98973575224759,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0088-0000/full/256,/0/default.jpg",Uncategorised,0
000-04MI-0000,0.989124898459718,006-001C-0000,"https://media.ng-london.org.uk/iiif/009-00ZL-0000/full/256,/0/default.jpg",Uncategorised,0
000-04PK-0000,0.9879576779760956,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00BP-0000/full/256,/0/default.jpg",Uncategorised,0
000-04S1-0000,0.9872431478023108,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00G2-0000/full/256,/0/default.jpg",Uncategorised,0
000-03ZE-0000,0.9870831675822852,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-015N-0000/full/256,/0/default.jpg",Uncategorised,0
000-03QL-0000,0.9855506188594164,006-000B-0000,"https://media.ng-london.org.uk/iiif/009-0080-0000/full/256,/0/default.jpg",Uncategorised,0
000-02WL-0000,0.9852106066728972,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-011R-0000/full/256,/0/default.jpg",Uncategorised,0
000-04T1-0000,0.985112517000422,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-00VC-0000/full/256,/0/default.jpg",Uncategorised,0
000-04HW-0000,0.98507027768951,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-012H-0000/full/256,/0/default.jpg",Uncategorised,0
000-02R5-0000,0.9850618852823708,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-000F-0000/full/256,/0/default.jpg",Uncategorised,0
000-03MZ-0000,0.9850104721962154,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01PR-0000/full/256,/0/default.jpg",Uncategorised,0
000-03YH-0000,0.9849934355620662,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01MJ-0000/full/256,/0/default.jpg",Uncategorised,0
000-03OF-0000,0.9848841475018868,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0023-0000/full/256,/0/default.jpg",Uncategorised,0
000-02QO-0000,0.9843354074678664,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00JQ-0000/full/256,/0/default.jpg",Uncategorised,0
000-04TS-0000,0.9840865193005532,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00Z9-0000/full/256,/0/default.jpg",Uncategorised,0
000-03ZY-0000,0.9836515560024036,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00R0-0000/full/256,/0/default.jpg",Uncategorised,0
000-04P0-0000,0.9836515560024036,006-0001-0000,"https://media.ng-london.org.uk/iiif/009-01KC-0000/full/256,/0/default.jpg",Uncategorised,0
000-04LI-0000,0.9836307115625398,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-000X-0000/full/256,/0/default.jpg",Uncategorised,0
000-02VX-0000,0.9834566116679184,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-006B-0000/full/256,/0/default.jpg",Uncategorised,0
000-032Z-0000,0.9829450841692572,006-001T-0000,"https://media.ng-london.org.uk/iiif/009-01S3-0000/full/256,/0/default.jpg",Uncategorised,0
000-02Q7-0000,0.9827134376355692,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01PP-0000/full/256,/0/default.jpg",Uncategorised,0
000-04M7-0000,0.9827010536592579,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01AM-0000/full/256,/0/default.jpg",Uncategorised,0
000-04TJ-0000,0.982685287722676,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0169-0000/full/256,/0/default.jpg",Uncategorised,0
000-04TF-0000,0.9825266524048186,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0030-0000/full/256,/0/default.jpg",Uncategorised,0
000-04QT-0000,0.9824674286585772,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-01OZ-0000/full/256,/0/default.jpg",Uncategorised,0
000-03N3-0000,0.9819437525813616,006-0018-0000,"https://media.ng-london.org.uk/iiif/009-016M-0000/full/256,/0/default.jpg",Uncategorised,0
000-02R8-0000,0.9819379326066544,006-001K-0000,"https://media.ng-london.org.uk/iiif/009-01NV-0000/full/256,/0/default.jpg",Uncategorised,0
000-03WC-0000,0.9815418772990164,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00O0-0000/full/256,/0/default.jpg",Uncategorised,0
